loss_generator,loss_discriminator
0.043580,0.068544
0.032331,0.034474
0.040729,0.012909
0.036303,0.283717
0.039378,0.052260
0.044433,0.016680
0.043911,0.043301
0.046370,0.027333
0.039538,0.640876
0.039748,0.303715
0.041171,0.009630
0.036417,0.064493
0.038778,0.005819
0.040970,0.004134
0.044713,0.010971
0.040431,0.009627
0.044751,0.024575
0.033324,0.094061
0.040576,0.248042
0.034503,0.422165
0.034903,0.349164
0.033513,0.132865
0.042356,0.049591
0.033698,2.025662
0.037136,0.167839
0.050020,0.037139
0.036511,0.599972
0.034402,0.134223
0.044448,0.054400
0.038023,0.158703
0.050502,0.015453
0.045722,0.023120
0.033591,1.729211
0.046662,0.008964
0.040651,0.017901
0.043680,0.012154
0.051951,0.164231
0.037758,0.498373
0.036128,0.069965
0.041731,0.008470
0.038242,0.008411
0.043908,0.006997
0.041730,0.074588
0.039835,0.065078
0.055523,0.003023
0.042105,0.012122
0.033400,1.580353
0.045510,0.004885
0.046065,0.005655
0.044307,0.070892
0.025934,0.221509
0.045695,0.304093
0.042605,0.860250
0.039117,0.141902
0.039399,0.022425
0.045066,0.005196
0.038827,0.015033
0.039519,0.356388
0.044794,0.007057
0.050777,0.005210
0.042826,0.249177
0.049927,0.001730
0.043743,0.043930
0.042753,0.034149
0.037760,0.048357
0.035444,0.068465
0.038783,0.046470
0.038436,0.030178
0.042614,0.032030
0.034584,0.072458
0.032524,0.643400
0.035239,0.378581
0.036403,0.130294
0.040206,0.117256
0.037883,0.039977
0.045473,0.016572
0.038091,0.138884
0.043938,0.013002
0.044248,0.005923
0.041496,0.011068
0.044197,0.013628
0.045139,0.004937
0.043027,0.004751
0.041065,0.018341
0.048197,0.005721
0.042737,0.064188
0.046443,0.005690
0.038818,0.190160
0.037698,0.080032
0.042483,0.054671
0.033974,0.108444
0.048415,0.835096
0.044576,0.066704
0.041207,1.702461
0.040602,0.099763
0.034711,0.699173
0.052040,1.658438
0.048476,0.041130
0.039440,1.684855
0.039047,0.306760
0.050407,0.330719
0.049682,0.098167
0.039443,0.036295
0.046076,0.091169
0.051399,0.015029
0.049648,0.013106
0.042136,0.182692
0.041807,0.013481
0.043623,0.009450
0.044874,0.007848
0.051897,0.017737
0.042592,0.005473
0.036756,0.022738
0.040991,0.010800
0.042240,0.024695
0.043581,0.017528
0.044103,0.006552
0.045235,0.004663
0.042827,0.006340
0.032405,0.318468
0.036323,0.011913
0.025225,0.472373
0.040220,2.506652
0.045106,0.055940
0.041563,0.013970
0.047781,0.025068
0.048206,0.030682
0.040004,4.574199
0.041347,0.830611
0.056216,0.002339
0.037815,0.096416
0.036462,0.008392
0.040195,0.020672
0.035158,0.042723
0.039352,0.065023
0.040006,0.192660
0.033082,0.342398
0.037163,0.276667
0.032395,0.038395
0.037586,0.114296
0.043376,0.106572
0.036857,0.036688
0.031069,0.033168
0.033191,0.008981
0.043742,0.007434
0.040880,0.006153
0.041869,0.008390
0.042221,0.007972
0.047270,0.003090
0.039805,0.006031
0.037360,0.009625
0.051872,0.003477
0.038396,0.003843
0.031359,0.680923
0.038185,0.039372
0.038023,0.007299
0.040918,0.006784
0.039587,0.035674
0.042811,0.027425
0.035996,0.135706
0.033254,0.443884
0.036884,0.248703
0.045791,0.373380
0.042286,0.024614
0.036278,0.254043
0.040362,0.050128
0.049772,0.010864
0.043871,0.037846
0.042922,0.089980
0.034203,4.625371
0.046430,0.012988
0.035189,0.555251
0.039149,0.190477
0.050950,1.114060
0.044806,0.674082
0.042801,0.222075
0.037793,0.039224
0.044688,0.013727
0.039813,0.036072
0.040053,0.293936
0.036141,1.257388
0.038075,0.053580
0.040677,0.009706
0.034862,0.012708
0.038386,0.014504
0.040196,0.026775
0.039629,0.027838
0.031458,0.061776
0.038552,0.072648
0.042663,0.231632
0.034858,0.075864
0.039125,0.128579
0.035249,0.073906
0.037651,0.059968
0.041309,0.030050
0.035948,0.026447
0.039249,0.048602
0.036198,0.049341
0.046371,0.026675
0.035736,0.010434
0.033001,0.128541
0.042180,0.016162
0.040684,0.026374
0.038404,0.014323
0.032775,0.457315
0.037621,0.259854
0.049409,0.037714
0.037512,0.038463
0.035728,0.074432
0.047469,0.177280
0.040735,0.034451
0.044468,0.089414
0.042846,0.106393
0.045403,0.168964
0.042135,0.991852
0.035241,2.655577
0.037456,0.851609
0.034814,1.231670
0.045361,0.248744
0.047489,0.040520
0.045441,0.028048
0.051735,0.005599
0.040879,3.276377
0.043400,0.536848
0.043905,0.005254
0.042102,0.008481
0.040879,0.009679
0.039659,0.026097
0.034154,0.235574
0.040850,1.185368
0.034239,0.222863
0.035325,0.058682
0.048994,0.012988
0.041908,0.009370
0.042186,0.055784
0.044239,0.040284
0.045210,0.079866
0.042136,0.217691
0.037416,0.374608
0.041875,0.010269
0.045332,0.022801
0.040800,0.039655
0.035493,0.065600
0.038440,0.136981
0.040992,0.012138
0.046673,0.007565
0.039041,0.024860
